scenario,alternative,theta,replicate,seed,reject,T,centered_l1,success,status,message,nit,fun,grad_inf,critical_value,runtime_seconds,error_message
null,null,0.0,60,302086,False,0.29411035232146476,0.009300585967704193,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2935605187976069,0.00019999999999999998,0.587476198675121,7.963060617446899,
location_shift,Y = X + theta e1,0.1,60,402566,True,1.2852046488665083,0.04064173949855106,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.28811608192789245,0.0004000000000000001,0.587476198675121,8.003415822982788,
location_shift,Y = X + theta e1,0.25,60,402567,True,3.3137417415225605,0.10478971480784254,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.25680904459702353,0.00039999999999999996,0.587476198675121,8.03749132156372,
location_shift,Y = X + theta e1,0.5,60,402568,True,6.119019550976862,0.1935003882818768,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.16326677500048203,0.0004000000000000001,0.587476198675121,8.004354238510132,
scale,Y = (1 + theta) X,0.1,60,402569,False,0.49622972807526405,0.015692161834038373,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2900416950071597,0.00019999999999999998,0.587476198675121,7.957502126693726,
scale,Y = (1 + theta) X,0.25,60,402570,True,1.1527264377858308,0.036452410624956084,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.272535632132972,0.00039999999999999996,0.587476198675121,7.956317663192749,
scale,Y = (1 + theta) X,0.5,60,402571,True,1.8525656798692476,0.05858327063445167,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.21246955345092905,0.00039999999999999996,0.587476198675121,7.957376956939697,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.1,60,402572,False,0.4937028117431398,0.01561225372337646,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2923790793873232,0.00039999999999999996,0.587476198675121,7.9646923542022705,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.25,60,402573,True,1.4798710984549754,0.04679763314573009,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.28316538475361824,0.0004000000000000001,0.587476198675121,7.956923007965088,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.5,60,402574,True,3.016586492112976,0.0953928407397456,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2594131579605948,0.00019999999999999998,0.587476198675121,8.071701526641846,
null,null,0.0,61,302087,False,0.41125858956097733,0.013005138503210353,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2932383382383463,0.00019999999999999998,0.587476198675121,7.963536739349365,
location_shift,Y = X + theta e1,0.1,61,402575,True,0.9364805220488793,0.029614114340579926,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2904813051734097,0.0004000000000000001,0.587476198675121,7.963005065917969,
location_shift,Y = X + theta e1,0.25,61,402576,True,2.9314678187030405,0.09270115194587154,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.26323075556355136,0.00039999999999999996,0.587476198675121,7.958156585693359,
location_shift,Y = X + theta e1,0.5,61,402577,True,5.929455100794332,0.1875058340221336,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.16808218337148073,0.00019999999999999998,0.587476198675121,8.311352491378784,
scale,Y = (1 + theta) X,0.1,61,402578,False,0.46315247661536224,0.014646167300524178,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.29046855627374646,0.0004000000000000001,0.587476198675121,7.958561897277832,
scale,Y = (1 + theta) X,0.25,61,402579,True,1.08471661803585,0.034301751288281654,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.27257838541524027,0.00019999999999999998,0.587476198675121,7.959254741668701,
scale,Y = (1 + theta) X,0.5,61,402580,True,1.780428620800465,0.05630209653081709,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.21591550793520733,0.0004000000000000001,0.587476198675121,8.004193305969238,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.1,61,402581,True,1.1050833161145361,0.03494580283173789,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.2886639765068253,0.00019999999999999998,0.587476198675121,7.959184408187866,
mixture_contamination,(1 - theta) mu0 + theta Law(X + 0.5 e1),0.25,61,402582,True,1.782410859083772,0.05636478040922142,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,200,0.27968687937387804,0.00039999999999999996,0.587476198675121,7.960478782653809,
