Python executable: /burg-archive/home/ss6574/.conda/envs/ot-exp/bin/python
Python version: 3.11.15 | packaged by conda-forge | (main, Mar  5 2026, 16:45:40) [GCC 14.3.0]
otexp package: /burg-archive/home/ss6574/L1-rates-ot-potentials/src/otexp/__init__.py
Running new_d dimension d=2, task=0
[trial] d=2, n=1000, b=86/100, runtime=67.57s, success=True, nit=515, nfev=519
[trial] d=2, n=1000, b=87/100, runtime=123.14s, success=True, nit=945, nfev=948
[trial] d=2, n=1000, b=88/100, runtime=86.00s, success=True, nit=658, nfev=661
[trial] d=2, n=1000, b=89/100, runtime=100.05s, success=True, nit=765, nfev=769
[trial] d=2, n=1000, b=90/100, runtime=106.32s, success=True, nit=816, nfev=819
[trial] d=2, n=1000, b=91/100, runtime=130.62s, success=False, nit=1000, nfev=1004
[trial] d=2, n=1000, b=92/100, runtime=120.38s, success=True, nit=920, nfev=924
[trial] d=2, n=1000, b=93/100, runtime=66.93s, success=True, nit=511, nfev=514
[trial] d=2, n=1000, b=94/100, runtime=129.59s, success=False, nit=1000, nfev=1003
[trial] d=2, n=1000, b=95/100, runtime=47.64s, success=True, nit=365, nfev=368
[trial] d=2, n=1000, b=96/100, runtime=98.16s, success=True, nit=757, nfev=760
[trial] d=2, n=1000, b=97/100, runtime=113.34s, success=True, nit=868, nfev=871
[trial] d=2, n=1000, b=98/100, runtime=74.37s, success=True, nit=571, nfev=574
[trial] d=2, n=1000, b=99/100, runtime=96.95s, success=True, nit=745, nfev=748
[trial] d=2, n=1000, b=100/100, runtime=103.64s, success=True, nit=798, nfev=801
[trial] d=2, n=3000, b=1/100, runtime=462.62s, success=False, nit=1000, nfev=1003
[trial] d=2, n=3000, b=2/100, runtime=462.74s, success=False, nit=1000, nfev=1003
[trial] d=2, n=3000, b=3/100, runtime=463.47s, success=False, nit=1000, nfev=1003
[trial] d=2, n=3000, b=4/100, runtime=464.25s, success=False, nit=1000, nfev=1003
[trial] d=2, n=3000, b=5/100, runtime=466.08s, success=False, nit=1000, nfev=1003
[trial] d=2, n=3000, b=6/100, runtime=470.52s, success=False, nit=1000, nfev=1003
[trial] d=2, n=3000, b=7/100, runtime=469.35s, success=False, nit=1000, nfev=1003
[trial] d=2, n=3000, b=8/100, runtime=465.46s, success=False, nit=1000, nfev=1003
